code,industry,name
00001,Conglomerates,CKH HOLDINGS
00002,Utilities—Regulated Electric,CLP HOLDINGS
00003,Utilities—Regulated Gas,HK & CHINA GAS
00004,Real Estate—Development,WHARF HOLDINGS
00005,Banks—Diversified,HSBC HOLDINGS
00006,Utilities—Independent Power Producers,POWER ASSETS
00008,Telecom Services,PCCW
00010,Real Estate Services,HANG LUNG GROUP
00012,Real Estate—Diversified,HENDERSON LAND
00013,Drug Manufacturers—Specialty & Generic,HUTCHMED
00014,Real Estate Services,HYSAN DEV
00016,Real Estate—Development,SHK PPT
00017,Real Estate—Diversified,NEW WORLD DEV
00018,Publishing,ORIENTAL M G
00019,Conglomerates,SWIRE PACIFIC A
00020,Software—Application,SENSETIME-W
00021,Real Estate Services,GREAT CHI HLDGS
00022,Building Materials,MEXAN
00023,Banks—Regional,BANK OF E ASIA
00025,Conglomerates,CHEVALIER INT'L
00026,Real Estate—Diversified,CHINA MOTOR BUS
00027,Resorts & Casinos,GALAXY ENT
00028,Real Estate—Development,TIAN AN
00029,Real Estate Services,DYNAMIC HOLD
00030,Specialty Retail,YNBY INTL
00031,Electronic Components,CHINA AEROSPACE
00032,Education & Training Services,CROSS-HAR(HOLD)
00033,,INTL GENIUS
00034,Real Estate—Development,KOWLOON DEV
00035,Real Estate—Development,FE CONSORT INTL
00036,,FE HLDGS INTL
00037,Real Estate Services,FE HOTELS
00038,Farm & Heavy Construction Machinery,FIRST TRACTOR
00039,,CH BEIDAHUANG
00040,Electronic Components,GOLD PEAK
00041,Real Estate—Diversified,GREAT EAGLE H
00042,Lodging,NE ELECTRIC
00045,Lodging,HK&S HOTELS
00046,Information Technology Services,COMPUTER & TECH
00048,Textile Manufacturing,C AUTO INT DECO
00050,Real Estate—Diversified,HK FERRY (HOLD)
00051,Real Estate—Development,HARBOUR CENTRE
00052,Restaurants,FAIRWOOD HOLD
00053,Conglomerates,GUOCO GROUP
00055,Specialty Business Services,NEWAY GROUP
00057,Specialty Industrial Machinery,CHEN HSONG HOLD
00058,Building Materials,SUNWAY INT'L
00059,,SKYFAME REALTY
00060,Food Distribution,HK FOOD INV
00061,Coking Coal,GREEN LEADER
00062,Railroads,TRANSPORT INT'L
00063,Real Estate Services,CHI ASIA VALLEY
00064,Capital Markets,GET NICE
00065,Thermal Coal,GRAND OCEAN AR
00066,Railroads,MTR CORPORATION
00068,Software—Application,MANYCORE TECH
00069,Lodging,SHANGRI-LA ASIA
00070,Resorts & Casinos,RICH GOLDMAN
00071,Travel Services,MIRAMAR HOTEL
00072,Advertising Agencies,META MEDIA
00073,Food Distribution,ASIAN CITRUS
00075,Real Estate—Development,Y.T. REALTY
00076,Electronic Components,ELATE HOLDINGS
00077,Railroads,AMS TRANSPORT
00078,Lodging,REGAL INT'L
00079,Lodging,CENTURY LEGEND
00081,Real Estate—Development,CH OVS G OCEANS
00082,Electronic Gaming & Multimedia,CRAZY SPORTS
00083,Real Estate—Development,SINO LAND
00084,Luxury Goods,STELUX HOLDINGS
00085,Semiconductors,CE HUADA TECH
00086,Credit Services,SUN HUNG KAI CO
00087,Conglomerates,SWIRE PACIFIC B
00088,Real Estate—Development,TAI CHEUNG HOLD
00089,Real Estate Services,TAI SANG LAND
00090,Utilities—Renewable,PUXING ENERGY
00092,Oil & Gas Midstream,CHAMPION TECH
00093,Credit Services,ZERO FINTECH
00094,Lumber & Wood Production,GREENHEART GP
00095,Real Estate—Development,LVGEM CHINA
00096,Auto Parts,YUSEI
00097,Department Stores,HENDERSON INV
00098,Aluminum,XINGFA ALUM
00099,Consumer Electronics,WONG'S INT'L
00100,Software—Infrastructure,MINIMAX-W
00101,Real Estate Services,HANG LUNG PPT
00103,Steel,SHOUGANG CENT
00104,Specialty Retail,ASIA COMM HOLD
00105,Real Estate Services,ASSO INT HOTELS
00106,,LANDSEA MGMT
00107,Infrastructure Operations,SICHUAN EXPRESS
00108,Real Estate Services,SR MEDICAL
00110,Consumer Electronics,CHINA FORTUNE
00111,Capital Markets,CINDA INTL HLDG
00113,Luxury Goods,DICKSON CONCEPT
00114,Leisure,HERALD HOLD
00115,Real Estate—Development,GRAND FIELD GP
00116,Luxury Goods,CHOW SANG SANG
00117,Electronic Components,TIANLI HOLDINGS
00118,Conglomerates,COSMOS MACH
00119,Real Estate—Development,POLY PROPERTY
00120,Real Estate—Diversified,COSMOPOL INT'L
00122,Real Estate Services,CROCODILE
00123,Real Estate—Development,YUEXIU PROPERTY
00124,Real Estate—Development,GD LAND
00125,Luxury Goods,SUN HING VISION
00126,Restaurants,CARRIANNA
00127,Real Estate—Diversified,CHINESE EST H
00128,Apparel Retail,ENM HOLDINGS
00129,Asset Management,ASIA STANDARD
00130,Apparel Manufacturing,MOISELLE INT'L
00131,Real Estate—Development,CHEUK NANG HOLD
00132,Conglomerates,HING YIP HLDGS
00135,Oil & Gas Refining & Marketing,KUNLUN ENERGY
00136,Entertainment,CHINA RUYI
00137,Marine Shipping,JINHUI HOLDINGS
00138,Auto & Truck Dealerships,CCT FORTIS
00139,Capital Markets,SMART FISH
00142,Packaged Foods,FIRST PACIFIC
00144,Marine Shipping,CHINA MER PORT
00145,Building Products & Equipment,CCIAM FUTURE EN
00146,Textile Manufacturing,TAI PING CARPET
00147,Real Estate—Development,IB SETTLEMENT
00148,Conglomerates,KINGBOARD HLDG
00149,Real Estate—Diversified,CH AGRI-PROD EX
00150,Internet Content & Information,HYPEBEAST
00151,Packaged Foods,WANT WANT CHINA
00152,Infrastructure Operations,SHENZHEN INT'L
00154,Waste Management,BE ENVIRONMENT
00156,Restaurants,LIPPO CHINA RES
00157,Household & Personal Products,NATURAL BEAUTY
00158,Real Estate Services,MELBOURNE ENT
00159,Steel,BROCKMAN MINING
00160,Real Estate—Development,HON KWOK LAND
00162,Department Stores,CENTURY GINWA
00163,Real Estate Services,EMPEROR INT'L
00164,Advertising Agencies,CHINA BAOLI TEC
00165,Asset Management,CHINA EB LTD
