date,open,high,low,close,volume,daily_return_pct
2026-08-19,25346.900391,25537.189453,25315.320312,25495.070312,3462700000,0.093910
2026-08-20,25779.080078,25842.910156,25632.390625,25698.490234,3777000000,0.797879
2026-08-21,25807.609375,26009.460938,25807.609375,26009.460938,3350100000,1.210074
2026-08-24,25780.119141,25780.119141,25430.939453,25517.330078,3664500000,-1.892122
2026-08-25,25634.220703,25676.769531,25403.439453,25511.099609,2916100000,-0.024417
2026-08-26,25635.240234,25800.220703,25615.939453,25652.970703,3001700000,0.556115
2026-08-27,25774.869141,25792.009766,25500.960938,25565.740234,2621400000,-0.340040
2026-08-28,25410.460938,25699.089844,25410.460938,25584.789062,2533500000,0.074509
2026-08-31,25420.630859,25566.990234,25290.689453,25566.990234,5115100000,-0.069568
2026-09-01,25415.720703,25478.980469,25240.199219,25329.730469,3078700000,-0.927993
2026-09-02,25280.820312,25311.210938,25008.869141,25311.210938,2694700000,-0.073114
2026-09-03,25482.560547,25538.150391,25160.380859,25213.310547,2741100000,-0.386787
2026-09-04,25515.740234,25791.380859,25515.740234,25650.869141,3576700000,1.735427
2026-09-07,25652.970703,25664.980469,25362.980469,25413.119141,2421900000,-0.926869
2026-09-08,25252.070312,25394.599609,25225.689453,25317.179688,2637000000,-0.377519
