code,industry,name
A,Diagnostics & Research,"Agilent Technologies, Inc. Common Stock"
AA,Aluminum,Alcoa Corporation Common Stock
AAC,Shell Companies,Ares Acquisition Corporation III Class A Ordinary Shares
AACI,Shell Companies,Armada Acquisition Corp. III - Class A Ordinary Share
AACO,Shell Companies,Abony Acquisition Corp. I - Class A Ordinary Share
AACP,Shell Companies,Apogee Acquisition Corp - Class A Ordinary Shares
AADX,Aerospace & Defense,"Applied Aerospace & Defense, Inc. Common Stock"
AAL,Airlines,"American Airlines Group, Inc. - Common Stock"
AAME,Insurance—Life,Atlantic American Corporation - Common Stock
AAMI,Asset Management,Acadian Asset Management Inc. Common Stock
AAOI,Communication Equipment,"Applied Optoelectronics, Inc. - Common Stock"
AAON,Building Products & Equipment,"AAON, Inc. - Common Stock"
AAP,Auto Parts,Advance Auto Parts Inc.
AAPG,Biotechnology,Ascentage Pharma Group International - American Depository Shares
AAPL,US mega-cap technology,Apple
AARD,Biotechnology,"Aardvark Therapeutics, Inc. - Common Stock"
AAUC,Gold,Allied Gold Corporation Common Shares
ABAT,Waste Management,American Battery Technology Company - Common Stock
ABBV,Drug Manufacturers—General,AbbVie Inc. Common Stock
ABCB,Banks—Regional,Ameris Bancorp Common Stock
ABCL,Biotechnology,AbCellera Biologics Inc. - Common Shares
ABEO,Biotechnology,Abeona Therapeutics Inc. - Common Stock
ABG,Auto & Truck Dealerships,Asbury Automotive Group Inc Common Stock
ABLV,Specialty Retail,Able View Global Inc. - Class B Ordinary Shares
ABM,Specialty Business Services,ABM Industries Incorporated Common Stock
ABNB,Travel Services,"Airbnb, Inc. - Class A Common Stock"
ABOS,Biotechnology,"Acumen Pharmaceuticals, Inc. - Common Stock"
ABSI,Biotechnology,Absci Corporation - Common Stock
ABT,Medical Devices,Abbott Laboratories Common Stock
ABTC,Capital Markets,American Bitcoin Corp. - Class A Common Stock
ABTS,Capital Markets,Abits Group Inc - Ordinary Shares
ABUS,Biotechnology,Arbutus Biopharma Corporation - Common Stock
ABVC,Biotechnology,"ABVC BioPharma, Inc. - Common Stock"
