date,code,open,close,volume
2026-08-27,00700,99.5,100.0,1000000
2026-08-28,00700,100.2,101.0,1050000
2026-08-31,00700,100.5,102.0,980000
2026-09-01,00700,96.2,95.88,1100000
2026-09-02,00700,95.7,95.40,4000000
2026-09-03,00700,95.5,97.00,1800000
2026-08-27,09988,99.5,100.0,1000000
2026-08-28,09988,100.2,101.0,1050000
2026-08-31,09988,100.5,100.0,980000
2026-09-01,09988,94.7,94.50,1100000
2026-09-02,09988,96.0,96.8625,4000000
2026-09-03,09988,96.8,98.00,1800000
2026-08-27,09999,99.5,100.0,1000000
2026-08-28,09999,100.2,101.0,1050000
2026-08-31,09999,101.5,102.0,980000
2026-09-01,09999,98.0,97.92,1100000
2026-09-02,09999,100.0,100.368,4000000
2026-09-03,09999,100.4,102.00,1800000
2026-08-27,03690,99.5,100.0,1000000
2026-08-28,03690,100.2,101.0,1050000
2026-08-31,03690,100.5,100.0,980000
2026-09-01,03690,95.0,94.8,1100000
2026-09-02,03690,94.5,94.326,4000000
2026-09-03,03690,94.3,96.00,1800000
2026-08-27,01810,99.5,100.0,1000000
2026-08-28,01810,100.2,101.0,1050000
2026-08-31,01810,101.5,102.0,980000
2026-09-01,01810,101.5,102.5,1100000
2026-09-02,01810,102.0,102.8,1300000
2026-09-03,01810,102.8,102.5,1200000
2026-08-27,00941,99.5,100.0,1000000
2026-08-28,00941,100.2,101.0,1050000
2026-08-31,00941,101.5,102.0,980000
2026-09-01,00941,101.5,102.5,1100000
2026-09-02,00941,102.0,102.8,1300000
2026-09-03,00941,102.8,103.0,1200000
2026-08-27,02318,99.5,100.0,1000000
2026-08-28,02318,100.2,101.0,1050000
2026-08-31,02318,101.5,102.0,980000
2026-09-01,02318,101.5,102.5,1100000
2026-09-02,02318,102.0,102.8,1300000
2026-09-03,02318,102.8,103.0,1200000
2026-08-27,01211,99.5,100.0,1000000
2026-08-28,01211,100.2,101.0,1050000
2026-08-31,01211,101.5,102.0,980000
2026-09-01,01211,96.0,95.0,1100000
2026-09-02,01211,95.5,96.0,1300000
2026-09-03,01211,96.0,95.5,1200000
