date,code,open,close,volume
2026-08-27,AAPL,100.0,100.0,1000000
2026-08-28,AAPL,100.2,101.0,1050000
2026-08-31,AAPL,101.0,102.0,980000
2026-09-01,AAPL,96.8,96.5,1100000
2026-09-02,AAPL,96.4,96.0,4000000
2026-09-03,AAPL,96.1,96.8,1800000
2026-08-27,MSFT,100.0,100.0,1000000
2026-08-28,MSFT,100.2,101.0,1050000
2026-08-31,MSFT,101.0,102.0,980000
2026-09-01,MSFT,101.8,102.0,1100000
2026-09-02,MSFT,104.8,105.0,1800000
2026-09-03,MSFT,105.0,106.0,1400000
2026-08-27,NVDA,100.0,100.0,1000000
2026-08-28,NVDA,100.2,101.0,1050000
2026-08-31,NVDA,101.0,102.0,980000
2026-09-01,NVDA,101.8,102.0,1100000
2026-09-02,NVDA,104.3,104.5,1700000
2026-09-03,NVDA,104.5,105.5,1400000
2026-08-27,TSLA,100.0,100.0,1000000
2026-08-28,TSLA,100.2,101.0,1050000
2026-08-31,TSLA,101.0,102.0,980000
2026-09-01,TSLA,96.0,95.0,1100000
2026-09-02,TSLA,95.3,95.5,1300000
2026-09-03,TSLA,95.5,96.0,1200000
