code,name,industry,close,lot_size,lot_value_usd,prior_return_pct,daily_return_pct,drop_strength_pct,two_day_drop_ok,industry_avg_return_pct,lag_vs_industry_pct,peer_count,volume_ratio,volume_anomaly,negative_news_score,negative_news_hits,news_fetch_ok,usd_hkd_rate,score,passes,two_days_ago_return_pct,turnover,prior_turnover_median,prior_traded_days,large_drop_ok,other_days_ok,three_day_drop_ok,consecutive_down_ok,liquidity_ok,market_cap,pe,pb
TTAN,TTAN,Software—Application,57.119998931884766,1.0,57.119998931884766,-7.211096985816368,-29.98284181192411,29.98284181192411,True,-1.838839879143489,28.144001932780625,208,23.28532221996341,22.28532221996341,0.0,,True,7.840980052947998,52.26816403188752,True,-5.563910193420318,1308510647.5315094,92445628.55987547,20.0,True,True,True,True,True,5510246516.321163,34.797016,3.5427651
TBBK,TBBK,Banks—Regional,50.02999877929688,1.0,50.02999877929688,-3.678778201633015,-22.325732130445232,22.325732130445232,True,-0.7691811824658445,21.55655094797939,286,11.298212248003043,10.298212248003043,0.0,,True,7.840980052947998,32.62394437844827,True,-1.2843152415462522,148604105.3741455,17684495.959854126,20.0,True,True,True,True,True,2040564004.4814148,12.113801,3.0048048
CASY,CASY,Specialty Retail,629.030029296875,1.0,629.030029296875,-2.9890668860011127,-14.241497815685456,14.241497815685456,True,-2.9411736347271344,11.300324180958322,41,8.064606741573034,7.064606741573034,0.0,,True,7.840980052947998,21.30610455725849,True,-0.3072118492641995,1625350692.7001953,268891656.8054199,20.0,True,True,True,True,True,23249054930.827396,38.308773,5.874393
WETO,WETO,Software—Infrastructure,2.4100000858306885,1.0,2.4100000858306885,-0.3921564960883028,-5.118105432076425,20.807455600648584,True,-1.1235944019676425,3.994511030108783,169,0.5096031524403487,0.0,0.0,,True,7.840980052947998,20.807455600648584,True,-20.807455600648584,3958184.1409683223,16032650.838387012,20.0,True,True,True,True,True,2597500.502508402,,8.034139
GWRE,GWRE,Software—Application,142.24000549316406,1.0,142.24000549316406,-7.825385788920835,-4.9896472418040405,19.934931637450997,True,-1.838839879143489,3.150807362660552,208,1.8234849495353695,0.8234849495353698,0.0,,True,7.840980052947998,20.758416586986364,True,-19.934931637450997,291677355.2642822,217554356.77642825,20.0,True,True,True,True,True,11842385672.700869,80.818184,9.875035
DYN,DYN,Biotechnology,19.190000534057617,1.0,19.190000534057617,-16.35091066075095,-5.514519750543956,16.35091066075095,True,-2.2971619471438776,3.2173578034000783,541,3.301238847166057,2.301238847166057,0.0,,True,7.840980052947998,18.65214950791701,True,-2.685370965155076,98694172.74665833,39417461.12651825,20.0,True,True,True,True,True,3583664110.623354,-5.7578006,4.5280795
CRBP,CRBP,Biotechnology,8.859999656677246,1.0,8.859999656677246,-4.377253249249325,-16.375654239016967,16.375654239016967,True,-2.2971619471438776,14.07849229187309,541,1.9546295394800897,0.9546295394800896,0.0,,True,7.840980052947998,17.330283778497055,True,-3.315882313926777,8893667.65537262,5416253.072214127,20.0,True,True,True,True,True,171363849.33969402,-1.6070142,1.6179693
PATH,PATH,Software—Infrastructure,13.56999969482422,1.0,13.56999969482422,-7.768264543109938,-3.140617607918017,16.630075999785188,True,-1.1235944019676425,2.0170232059503745,169,0.8884067450994844,0.0,0.0,,True,7.840980052947998,16.630075999785188,True,-16.630075999785188,785135756.3430786,1105946854.86269,20.0,True,True,True,True,True,7072078741.085991,20.876923,3.6186666
NVS,NVS,Drug Manufacturers—General,137.47999572753906,1.0,137.47999572753906,-13.93212562010585,-0.159768500783497,13.93212562010585,True,-0.6041271525955794,-0.4443586518120823,16,2.0347838137472283,1.0347838137472285,0.0,,True,7.840980052947998,14.96690943385308,True,-1.9007854033572855,403723755.4534912,224276642.5819397,20.0,True,True,True,True,True,261310268082.4701,20.767372,6.290263
ASAN,ASAN,Software—Application,8.25,1.0,8.25,-0.2270199411016804,-6.143344302577103,12.68582471371813,True,-1.838839879143489,4.304504423433614,208,1.769034617441817,0.769034617441817,0.0,,True,7.840980052947998,13.454859331159946,True,-12.68582471371813,58664925.0,39057719.66257095,20.0,True,True,True,True,True,1889003465.25,18.142633,18.252213
SANA,SANA,Biotechnology,3.1700000762939453,1.0,3.1700000762939453,-10.389606931354646,-8.115941087530098,10.389606931354646,True,-2.2971619471438776,5.818779140386221,541,3.959265870291546,2.959265870291546,0.0,,True,7.840980052947998,13.348872801646191,True,-1.7857186300760608,27422402.659988403,8519867.944157124,20.0,True,True,True,True,True,948973242.129404,-5.7105803,6.143411
CHWY,CHWY,Internet Retail,20.75,1.0,20.75,-1.6483490793052336,-10.829395823767218,10.829395823767218,True,-1.3132974206201242,9.516098403147094,26,3.211338942896822,2.211338942896822,0.0,,True,7.840980052947998,13.04073476666404,True,-1.2520836749737696,448625375.0,153536856.17189407,20.0,True,True,True,True,True,8339990416.75,38.425926,17.306087
CNXC,CNXC,Information Technology Services,27.06999969482422,1.0,27.06999969482422,-12.095769303809444,-4.244785084925251,12.095769303809444,True,-1.6847334033700756,2.5600516815551755,66,1.4266862170087975,0.4266862170087977,0.0,,True,7.840980052947998,12.52245552081824,True,-2.1004525380802,42142575.52490234,29447427.548885345,20.0,True,True,True,True,True,1651766715.8786774,2.2767031,0.60991824
KRMN,KRMN,Aerospace & Defense,35.220001220703125,1.0,35.220001220703125,-0.7253649796093109,-11.262276544897176,11.262276544897176,True,-2.370774500600492,8.891502044296685,87,2.0653032767836392,1.0653032767836392,0.0,,True,7.840980052947998,12.327579821680816,True,-1.332677466502541,156500075.42419434,109113185.8789444,20.0,True,True,True,True,True,4667837357.544312,146.75002,11.08593
